generation,mean_pairwise_distance,variance_diversity,entropy_diversity
0,13.301261152445552,0.33093172687661127,2.2576897082488965
1,13.04695430576534,0.3186554031349986,2.129988605628344
2,12.825667320835075,0.30806276711278324,2.035696041261594
3,12.706141711058022,0.30230160389418326,1.9985009507410603
4,12.761236577254916,0.3049403142707937,1.9877783321364901
5,12.68703942987377,0.30142230615699944,1.9664428982210125
6,12.691076749171515,0.30160400825253314,1.966776691811808
7,12.586080903227316,0.29660337862136443,1.9292302477601104
8,12.502328768875179,0.29272184695692055,1.9260539566518153
9,12.510420613117478,0.29309312135666077,1.9273069847350397
10,12.501316595052433,0.29264525386289025,1.91658052550446
11,12.506990778390401,0.2928871899843437,1.921515232778257
12,12.425721122074858,0.2890100170258529,1.922048892538339
13,12.43007860885555,0.28923087866897185,1.913476787916932
14,12.444571502639988,0.28988170067014135,1.9223062344550843
15,12.421816961630114,0.28883967578306335,1.9245328622871285
16,12.437763955781216,0.28959390017267417,1.9159014941414576
17,12.438920358263264,0.28968692835057447,1.9120013765105903
18,12.44243940681884,0.28984508881465104,1.904211680682277
19,12.428946018725277,0.2892065444921299,1.898915271731274
20,12.390949344349284,0.2874577163012301,1.8806891431782167
21,12.384050600538759,0.2871300236416508,1.8912392655833217
22,12.38674235727302,0.28724064782805525,1.8912937746665546
23,12.407422355542392,0.28820524888054233,1.8874973589232704
24,12.446270254328525,0.2900001784256485,1.8929322030295594
25,12.448179953512598,0.2900782574710052,1.8889487024251392
26,12.403845677144735,0.28803594919742825,1.8826676685189807
27,12.44167939848478,0.2897705418521111,1.9018184427672111
28,12.43461534943326,0.28944972489016907,1.8965028355413538
29,12.44721071620982,0.2900324078925386,1.9012106882363629
30,12.437397228108841,0.28958245545761874,1.8995451037462363
