generation,mean_pairwise_distance,variance_diversity
0,13.313784078621758,0.33155313529506064
1,13.163306594955653,0.32993947549616365
2,13.375561391002075,0.3409700237698505
3,13.401279644338675,0.3419250861984127
4,13.357217235075519,0.34143382132476796
5,13.426324047960478,0.3421677303426773
6,13.519903876930382,0.34615387596215297
7,13.527707647399916,0.346470801275436
8,13.56197573327353,0.3475997328721329
9,13.632844069142045,0.3515515239477368
10,13.532311620408336,0.3459181875655885
11,13.523392520292838,0.34604308814167467
12,13.635017767257066,0.3513370775859584
13,13.722421844911073,0.35545818266145063
14,13.915857015240492,0.36483675182508624
15,13.898213689342539,0.36383914305057313
16,13.952819632539912,0.36708451203456954
17,13.916818728662543,0.36575703366279366
18,14.042082090286474,0.3720305668554037
19,14.257617401398964,0.3831401930477843
20,14.414369936664535,0.3924855019040444
21,14.394643898342231,0.390459328162292
22,14.528603007348796,0.39784615509858146
23,14.504669404940591,0.39579903882827977
24,14.36312659158609,0.38884481204831034
25,14.456740082918996,0.39426414165386064
26,14.52078837299215,0.3974946036213245
27,14.504499192366103,0.39709154477311037
28,14.597264824842869,0.40270217321821666
29,14.672975627251446,0.4066657027068065
30,14.72768383109386,0.41015407698323997
0,13.352308969726472,0.33344779046534495
1,13.014801931110567,0.32094262886689195
2,13.139721331418725,0.3260256767349709
3,13.278704047036888,0.3345360712392401
4,13.48262127128807,0.3443664734120225
5,13.6221371954207,0.3517118660324631
6,13.804670732349047,0.3616468019200632
7,13.990738573480765,0.36989895957362107
8,14.028281062382613,0.3714629599079455
9,14.192473995934968,0.3806181269480093
10,14.062403418941534,0.37466816635496286
11,14.325618491850028,0.38713362374919263
12,14.377910304411163,0.38970219894109487
13,14.382310733404656,0.3899857750971424
14,14.535683729331929,0.39818323048341064
15,14.565622693738183,0.3996894806820166
16,14.567640101750378,0.40006164504087494
17,14.532736990995911,0.398279446758353
18,14.526957761750918,0.39756785603339756
19,14.380115549680518,0.39093530068716287
20,14.579675014184481,0.40138484947086284
21,14.672359425382606,0.4061134983259296
22,14.678815007133938,0.40743915844192463
23,14.552001733030218,0.40150364893004614
24,14.732189658848055,0.4100883094762555
25,14.722291577338968,0.409237678982985
26,14.731639366084353,0.4098014653409898
27,14.82709072543812,0.4147279093451528
