Genome,Fitness
"[[ 1.08810625e-01  9.11943163e-01 -6.97890661e-01 -8.74954054e-01
   7.19888251e-01  7.02835418e-01 -5.94315396e-01 -5.95833970e-01
  -5.64127229e-02  4.83044652e-02  6.99846955e-01  7.10359395e-02
  -3.67574670e-01 -3.05151427e-01 -3.16065409e-01  2.16105840e-01
   3.86015659e-01 -6.79676969e-01  5.61083088e-01 -6.20195068e-01
  -6.34772154e-01 -6.35808414e-01  8.11209632e-01 -4.26951018e-01
   1.77690117e-01 -2.28534685e-01  8.92670024e-01  1.37349594e-01
   5.02654755e-01 -9.17805544e-01  1.94555171e-02 -8.94690537e-01
   9.43427536e-01  9.64639765e-01  7.77722288e-01 -5.57103445e-01
   7.41608636e-01  8.77036533e-01  9.63782167e-01  4.72877216e-01
   2.11154692e-01  9.98957260e-01 -5.04808596e-01  2.98447145e-01
  -1.81675573e-01  5.73174735e-01  6.44352617e-01 -3.43038548e-01
   4.97331808e-02 -9.72572275e-02  2.19334038e-03 -3.07103011e-01
  -5.78026554e-01  5.27983671e-01  5.23593539e-01 -7.18890271e-01
   4.67477552e-01  7.16207633e-01  9.49820513e-01 -1.49300533e-01
  -6.50497002e-01  5.08062844e-02 -5.74316723e-01  3.64319847e-01
  -5.19139640e-01  5.29339680e-01 -3.74857048e-01  2.45398062e-01
   8.96998915e-01  3.57686391e-01 -6.07831844e-01  5.38916363e-01
   3.70593587e-01 -3.01135236e-01 -9.12575661e-01  1.83137724e-02
  -4.37295689e-01 -2.22167599e-01 -4.41047174e-01  6.70403196e-01
   8.01446652e-03  1.79998615e-01  7.26675613e-01  7.13655972e-01
  -6.64622034e-01 -3.72556321e-01  8.90659142e-01  2.07409734e-01
   2.06685279e-01 -7.47581041e-01  4.49836619e-02 -3.55793894e-01
   9.74421538e-01  7.70178740e-01 -5.21866918e-02  8.48275615e-01
   3.17388663e-01  8.17910756e-01  7.43489208e-01 -5.14563327e-01
   8.05474304e-01 -9.02561101e-01 -8.49216001e-03 -2.51425772e-01
  -1.21410949e-01 -1.25726663e-01 -8.49430183e-01  9.09990768e-01
   4.62931186e-01 -9.57270995e-01  8.41445969e-01 -4.02348408e-01
  -9.86415392e-01 -6.76088151e-01  8.99985460e-01  1.69881665e-01
   7.52272521e-01 -5.04442177e-01  5.28505133e-01  4.35706394e-01
  -2.44961970e-01 -4.77309987e-01 -3.54238587e-01 -8.13737643e-01
  -2.15225562e-01  4.32586070e-01 -5.49224764e-01 -4.24899886e-01
  -6.02207011e-01 -7.28910841e-01 -6.35415654e-01  5.16471008e-01
  -7.89855166e-01 -5.81654175e-01  2.34611646e-01  3.83536283e-04
  -5.97921921e-01  9.23939277e-01  5.60470626e-01 -3.48536588e-01
  -7.73813433e-01 -6.45464495e-01 -5.51269083e-01  3.14693343e-01
   4.45369880e-01 -5.33418116e-01 -8.50401669e-01  4.29096374e-01
   8.15429671e-01 -2.74333792e-01 -3.52118641e-01  9.72629615e-01
  -9.84556693e-01  8.55142188e-01  1.82067856e-01  4.93601320e-02
  -2.97456911e-01  6.49683300e-02  8.24010218e-01 -3.36647079e-01
  -3.46494186e-01  8.72196283e-01 -4.65665530e-01 -6.71197486e-01
   7.96220213e-01  9.75890993e-01 -1.26296617e-01  4.77257427e-01
  -5.21906744e-01  7.98118080e-01  4.49039714e-01  5.51750116e-01
  -5.52441250e-01  4.41571299e-01 -4.79250584e-01  4.73621938e-01
   7.99651831e-01  4.50724978e-01 -5.07943057e-01 -7.19133165e-01
   2.10964978e-01 -2.48812668e-01 -7.28321222e-01 -3.84362092e-01
   9.71069595e-01 -2.89421844e-01  6.17180530e-01 -9.96492722e-01
  -5.53643471e-01 -9.44049802e-01 -3.54101711e-01 -2.22186392e-01
   7.98873241e-01  8.08572376e-01 -1.79433858e-01 -2.17661003e-01
   8.73753422e-02  1.79475449e-01  8.84304664e-01  7.98454345e-01
  -2.04291051e-01  8.59708991e-01  8.41388326e-01  5.91501909e-01
   2.28438471e-01  1.19093537e-01 -4.78438867e-01  7.96260793e-01
  -7.14743468e-01  3.43902147e-02 -1.36047242e-01  8.38604965e-02
  -8.17809291e-02  9.83433106e-01  7.39745023e-01  7.50741232e-01
   3.45982743e-01  5.69302676e-01 -5.45126060e-01 -2.12880394e-02
  -2.69101864e-01 -8.56592008e-01  3.74571750e-01 -6.89604373e-01
  -4.91984673e-01 -1.30636267e-01  7.55018342e-01  2.20076698e-01
   8.82632968e-01  9.00853142e-01 -6.43043277e-01  4.22014048e-02
   8.81902849e-01  8.07846973e-01  4.15532624e-01  1.60772128e-01
   9.55502574e-01 -4.81211868e-01 -4.44241139e-01 -6.00868757e-01
  -5.38917171e-01  2.78469268e-01  2.43156000e-01  2.35532629e-01
  -7.95389474e-02  8.74234302e-01  3.28128342e-01  4.20468992e-02
   9.49359720e-01 -4.60416087e-01  8.13726939e-02 -2.01761743e-02
  -2.64486685e-01 -8.64572333e-02 -1.12653405e-01 -3.42128147e-01
  -9.69346943e-01  4.88945214e-01  3.69284212e-01 -5.45282158e-01
  -4.85739811e-02  5.06289607e-01 -3.18758064e-01  9.27877427e-01
  -6.82825961e-01]]",[66.17991707]
"[[-0.94811428 -0.4400115   0.95209598 -0.05372346  0.20350247 -0.28134724
  -0.39916822 -0.15402572 -0.91651887  0.26143136 -0.84240036 -0.2706078
  -0.7386524   0.49595105 -0.84826321  0.20967108 -0.41226699 -0.5894339
  -0.08250657  0.66370246  0.64151827 -0.52832081 -0.1997784   0.34858276
  -0.02034538 -0.05764985  0.11162669  0.87036819 -0.17116052  0.62648471
   0.02655894  0.08853011  0.23702529 -0.11007687  0.90749252  0.55755369
  -0.31388594  0.9469473   0.72631321 -0.17607441  0.35613241  0.68680769
  -0.443878    0.3108422  -0.01418718  0.58366157  0.87296498 -0.7836993
   0.05711567  0.65472011 -0.87620982  0.10267257 -0.83532517  0.69528032
  -0.65089293 -0.32052021  0.65585078  0.88214515  0.39854046  0.27353622
  -0.04718955  0.65296226 -0.31135224  0.23503079  0.8469028  -0.39084066
   0.84069532 -0.81261288  0.70874991  0.59460007  0.76324037  0.85622006
   0.59442531  0.36000612  0.22796304  0.63681227  0.06396693 -0.93379627
  -0.10519975  0.71245407  0.09351237 -0.39991852  0.0263016  -0.3933909
   0.31780874 -0.61098298 -0.95137254 -0.6369705   0.39955261  0.47060961
  -0.55814117  0.47526939 -0.24246841  0.95060148 -0.28430338 -0.95603263
  -0.91584751  0.35558848 -0.46414275 -0.20617848 -0.76186947  0.60863844
   0.96827486  0.71010063 -0.52882862  0.31253787  0.0891817   0.50682285
   0.81668182 -0.6744451   0.9332457  -0.02437257 -0.06345051  0.84139875
  -0.3596878  -0.75687763  0.07413738 -0.70526841 -0.31418575  0.37094447
  -0.57327362  0.95333791  0.98441758 -0.46497555 -0.18815242  0.73056391
   0.61130459 -0.66165481  0.74876376 -0.73681341 -0.73647714  0.43749727
  -0.95256172 -0.82906896  0.14909112  0.78727364  0.92948626  0.90845806
  -0.58353882 -0.28280872  0.88663324  0.13429756  0.6614206   0.97830148
  -0.3931227  -0.00177153  0.89651404 -0.17324513  0.90263399 -0.88950611
  -0.58039527  0.8635561  -0.63827777 -0.02536271 -0.25878238 -0.46379379
   0.07370617 -0.19315953  0.27367509 -0.55469855 -0.84739995  0.81491636
  -0.14925502  0.5566545  -0.57689039 -0.55476861  0.76967119  0.61082819
   0.15999156 -0.35643546  0.71367105  0.70663593  0.14417566  0.71626089
  -0.67988809  0.64825279 -0.08651615 -0.93572922 -0.44294011 -0.52223275
  -0.05030962  0.2669619  -0.50652681  0.82714773  0.54096599 -0.76746048
  -0.88181001 -0.37389366 -0.41509836  0.71686644  0.99267732  0.76216048
   0.48909821  0.22988065  0.87396741 -0.75137845  0.38422055  0.27509013
   0.47346742  0.7088507   0.2562593   0.53531904 -0.3270819  -0.82487565
  -0.05592037 -0.89010425  0.02646627 -0.29149364 -0.81594796 -0.74987188
  -0.95068824 -0.61890361  0.2029018   0.39267886  0.8353072  -0.81926372
  -0.26262013  0.03259437  0.71072182 -0.2814497   0.29961651 -0.11960578
  -0.32588654  0.48330399 -0.44378107  0.52824331  0.82739363  0.49810551
   0.92367264  0.65871576 -0.43026689 -0.96041461  0.87257044  0.50506669
  -0.91111664  0.90188817 -0.58202138  0.08060046  0.51079067  0.25672256
   0.14491576  0.6775828   0.6168842   0.83454214  0.78395529  0.35937863
  -0.3912743  -0.77983309  0.36294398 -0.57949941 -0.17929803  0.49722981
  -0.26285916 -0.21364974  0.7616904   0.39975466 -0.19008503  0.19742675
   0.65318657 -0.46132765 -0.38212959 -0.15812758  0.51758616 -0.6661775
   0.8388085 ]]",[75.25699681]
"[[ 3.99961635e-01 -8.57002281e-02 -7.90727438e-01  4.18399490e-01
  -1.46494903e-01 -8.62481885e-01 -9.81061667e-01 -8.68627296e-01
  -6.67248874e-01 -4.45305579e-01 -6.75596464e-01 -2.55644516e-01
   8.37286081e-01 -2.58934949e-01 -4.24235283e-01 -5.25234838e-01
   2.06656964e-01  2.67321787e-01 -4.10963647e-01 -5.23801188e-01
  -4.32133393e-01 -6.83628241e-02 -7.59181646e-01 -5.82130758e-01
  -6.38039335e-01 -4.04836359e-03  5.35433930e-01 -9.61455045e-01
  -4.47663271e-01  3.04474295e-01  5.80592363e-01  7.29849035e-01
   6.23203996e-01  7.04694348e-01  3.69008464e-01 -6.00196702e-01
  -6.44532450e-01  2.98102115e-02  3.68226586e-01 -9.61618295e-01
  -8.88651894e-02  9.85248186e-01  2.52947734e-01  1.10279618e-02
  -2.23265968e-01 -3.48488317e-03  7.98326721e-01 -9.22272332e-01
  -9.70159154e-01  3.56634342e-01 -4.83324249e-01 -7.21039546e-01
   3.00352482e-01 -7.01544453e-01 -8.28028328e-01  5.86347538e-01
  -6.95398147e-01 -9.97922015e-01  7.03347652e-01  5.61060086e-01
  -5.38557004e-01  6.73549766e-01  1.90253886e-01  2.50551125e-02
   3.86379397e-01 -3.36415382e-01 -5.17621607e-01  2.23718293e-01
   3.99689387e-02  1.23695052e-01  4.88942734e-01  2.16388830e-01
  -4.77089179e-01  9.83902653e-01  6.36363011e-01  8.66468709e-01
   7.21662101e-02  9.02257958e-01 -8.79584640e-01 -1.80417151e-01
   6.34758097e-01  1.57831360e-01  6.39905603e-01  2.88369628e-01
  -6.42680374e-01 -6.29411889e-01  6.36495350e-01 -7.87889696e-01
  -2.59377553e-01  9.22905550e-01 -4.65062525e-02 -9.25159836e-01
  -4.85608289e-01 -8.24795906e-01 -4.15529944e-01 -6.94302845e-01
   1.49996896e-01 -5.50532005e-01  6.05225611e-01 -8.66014370e-01
   1.59970951e-01 -2.47894155e-01 -8.64822983e-01 -4.14438868e-02
  -7.22672072e-01  8.14765873e-01  8.27868769e-02  5.48508163e-01
  -2.74823546e-01  3.18144687e-01 -6.72548065e-01 -3.65345634e-01
   9.72914140e-01  8.93274239e-01  2.66221110e-01 -5.91112604e-01
   2.27981400e-01  1.48751754e-04 -2.64440458e-01  9.60762213e-01
  -2.77803872e-01 -5.58927562e-01  1.99016497e-02 -8.28658861e-01
  -5.36903153e-01  4.18680216e-01  6.93220625e-01  3.51071241e-02
   4.83522083e-01 -5.06604725e-01  3.79219591e-01 -7.59982975e-01
  -4.98563851e-01  7.35282501e-01 -7.16371232e-01  3.72174041e-01
   5.57832374e-01 -6.56381971e-01 -6.68057525e-01 -4.26617777e-01
  -8.28711184e-01 -2.29099134e-01 -6.18653119e-01  7.35940745e-01
  -5.40712500e-01 -5.22418611e-01  6.59954552e-01  7.34288431e-01
   6.41685950e-01  9.21114840e-01  3.12693028e-01  9.28037081e-01
  -5.81967507e-01 -9.21873787e-01 -7.91868285e-01  4.75930371e-01
  -6.52653172e-01  9.24776043e-01  7.69154836e-01  4.29108880e-01
   3.50243375e-01  3.25289837e-01  7.75041053e-01  6.47937108e-01
  -5.39117308e-01  4.30480400e-01 -5.89754928e-01  6.99866248e-01
  -6.97091442e-01  5.52221856e-01  1.25559089e-01 -8.48930583e-01
  -1.05727629e-01 -8.76024513e-01  9.27463857e-01 -5.36233777e-01
  -5.89228892e-02 -9.40852574e-01 -7.24436168e-01 -6.39449654e-01
   6.68483272e-02 -2.50707131e-01  2.55184613e-01  3.21043762e-01
   9.50199989e-02 -3.01573354e-01 -5.03411598e-01  4.37929836e-01
   4.98198832e-01  8.70013463e-02 -2.83639184e-01 -3.52583892e-01
  -9.74141984e-01  1.32104734e-02 -9.24428640e-01 -2.22758815e-01
  -7.68698898e-01 -7.91530833e-01 -3.15066821e-01  7.11704810e-01
  -9.53439448e-01 -9.48877067e-01  1.68721533e-01 -4.03279386e-01
  -3.31215675e-01  3.51048406e-01 -3.66291462e-01 -7.91457619e-01
  -2.58405418e-01  4.12445655e-01 -9.13865568e-01 -8.51149502e-01
   5.56405316e-02  6.89006860e-01 -9.81153735e-01 -6.51218998e-01
   4.74443965e-01  9.37336156e-01 -8.54499173e-01 -9.02975710e-02
  -1.26596321e-03  5.10340213e-01 -9.70359622e-01  5.35124047e-01
  -7.43155090e-01 -3.95280634e-01  3.99370934e-01  9.35460858e-01
  -5.68719556e-02 -4.61682599e-01 -1.44987403e-01  6.14940152e-01
   5.74561661e-01 -9.65402342e-02 -4.27847837e-02 -7.27615507e-01
   6.60520832e-01 -2.48101306e-01 -5.11220321e-01 -3.05458721e-01
  -9.19553806e-01  4.67910111e-02  7.40810395e-01 -9.88878805e-02
   7.46946361e-01 -4.62504146e-01  7.96971013e-01 -8.30149145e-01
   6.04496361e-01  4.96172857e-01 -6.82061600e-01  4.10975943e-01
  -7.62871619e-01  9.13092244e-01  2.90787263e-02 -2.66568124e-01
   6.80391989e-01  2.35045308e-01 -1.01527531e-01 -8.60793465e-01
   8.39140924e-01 -7.66388030e-01  3.45334794e-01 -5.81376412e-01
  -3.11643813e-03]]",[75.00603857]
"[[-2.65610198e-01 -9.45684758e-02 -1.64384329e-01 -6.44447130e-01
  -7.56454737e-01 -3.95369299e-01  3.80296095e-01  1.46425393e-01
  -6.05149315e-01  3.95783472e-01  9.51069462e-01 -2.49053586e-01
  -2.69345812e-01  7.39905858e-01  2.76260753e-01 -1.35394515e-01
   7.70815854e-01  7.88416506e-02 -9.51667024e-01 -5.71233698e-01
  -1.77770285e-01  1.45563349e-01 -5.84089143e-01 -9.77072801e-01
  -1.33187652e-01  7.12610785e-01  5.48806891e-01  5.06688046e-01
  -3.80444873e-01 -9.48568768e-01  2.15288109e-01 -3.60530186e-02
  -4.04363435e-03 -2.15508238e-01  5.16415128e-01 -3.90624713e-01
  -6.80113791e-01  6.80471228e-01  8.32177655e-01 -6.57168146e-01
   2.75171058e-02  7.61283715e-01 -2.57894589e-01 -3.83005857e-01
  -3.49228497e-01  9.02480432e-01 -8.54698507e-01  2.25961412e-01
   9.61681184e-01 -8.77687410e-01 -9.01428699e-01 -3.55726498e-01
  -4.42180102e-01 -1.04744038e-01  8.89018926e-01  3.35186735e-01
   7.18823139e-01 -6.25752679e-01 -2.66028002e-02 -3.03386890e-01
  -7.10487250e-01  7.78070586e-01  1.43301832e-01 -8.69792244e-01
  -6.14454477e-02  9.30623112e-02  1.95125692e-01 -7.56283008e-01
   8.10180396e-01  9.84439205e-02 -3.39522129e-01  9.61718664e-01
  -4.81393781e-01  8.11736222e-01 -4.03178669e-01 -1.06900367e-01
   8.18765527e-01  1.54891047e-01 -9.52061877e-02  5.52571050e-01
  -5.65346732e-01  4.98389061e-01 -4.90194107e-01  2.89618086e-01
  -5.07562551e-01 -5.44235789e-01 -4.38410291e-01  3.80244372e-02
  -1.19602508e-01 -8.21501364e-01 -9.84371516e-01  3.40073087e-01
  -1.90955234e-01 -1.08147789e-01  4.51927793e-01 -1.21876073e-01
  -5.69630424e-02  1.76754123e-02  3.81298404e-01 -2.57009020e-01
  -9.66748071e-01 -5.87761637e-01 -6.53424282e-01 -1.51203968e-01
  -8.26776285e-01 -4.63349156e-01 -8.69724146e-01  7.32878451e-01
   3.67649571e-01 -7.87084092e-01 -4.48652586e-01 -3.88204984e-01
  -5.99314620e-01 -3.23493667e-01  4.17539203e-01  2.32855868e-01
   3.00198953e-01 -5.79257986e-01 -9.43968465e-01  7.40343317e-01
  -8.83495754e-01 -2.40650966e-01 -2.49158035e-01  1.21351829e-01
   4.86534334e-01  9.35501801e-01  7.94223024e-01  1.84194914e-01
  -7.08991881e-01  1.03135657e-01  1.36774784e-01 -2.35521837e-01
  -5.81228591e-01  4.27245338e-01 -5.04816173e-01  2.76508327e-01
  -5.60488030e-01  8.46462477e-02 -5.64556517e-01  9.16517234e-02
   5.70710485e-01 -4.50163914e-01  2.98147763e-01 -1.46998597e-01
   3.85041984e-01  6.41149234e-01 -9.67742230e-01  5.35213843e-01
   3.04704325e-01 -8.27977443e-05 -6.92061110e-01 -1.89850106e-01
  -5.62278713e-01  1.28243728e-03  6.94219816e-01 -5.58958996e-01
  -5.57203779e-01  1.39876039e-01  5.33106803e-01 -6.50692222e-01
   3.77388680e-01  3.22701757e-01  7.02296201e-01 -1.34396071e-01
   2.76457201e-01  7.65210502e-01 -8.12571869e-01  1.33834032e-01
   3.01665863e-02 -4.81757122e-01  3.92338242e-01  3.84755640e-01
   3.83275322e-01  1.78771228e-01 -4.12920026e-01 -9.53119855e-02
   5.06807500e-01 -7.06572340e-01 -7.46418385e-01  4.86393113e-01
   3.00117278e-01 -2.73076897e-01 -8.72303562e-01 -5.75725647e-01
  -7.35361646e-01  7.85951681e-01  8.53640440e-01 -7.16758906e-01
  -6.22381593e-02  3.96757723e-01  8.20721997e-01 -6.72247556e-01
  -4.71607359e-01 -4.29921377e-01  7.58913043e-01  8.30602672e-01
  -5.27176447e-01  8.73517115e-01 -5.22227048e-02  2.22714245e-01
  -4.66496865e-01  6.50667358e-01 -5.23797082e-01 -3.00983001e-01
   1.31111514e-01  9.19004332e-01  4.71273382e-01 -9.42497790e-01
   2.37335371e-01  9.33709334e-01  8.19409184e-02 -9.85716757e-01
   3.90585598e-01 -5.18026901e-01  7.37348990e-01 -2.06613056e-02
  -8.54072623e-02 -1.65026211e-01 -9.74244728e-01  2.23101822e-01
  -7.21487426e-01  7.52528899e-02 -4.28423216e-01  7.41627744e-02
   9.59463508e-02  3.92040550e-01 -8.96942659e-01  4.76885639e-01
  -8.51513556e-01  4.50931712e-01 -9.43472417e-01  7.11986863e-01
   5.03104306e-01 -2.79674868e-01  2.76056494e-01 -6.40286301e-04
  -9.80851758e-01  4.24298005e-01  6.15040248e-02 -8.52255931e-01
   6.22072708e-01  7.61012676e-01  2.58048048e-01  2.15110382e-01
  -5.80487630e-01 -7.97132716e-01 -6.85066442e-01 -5.35269253e-01
   2.46189196e-01 -8.25075217e-02 -6.29569990e-01  2.21538097e-01
  -8.98290686e-01 -4.16601274e-01  1.24733501e-01 -8.88425863e-01
  -9.63829453e-01  3.84174014e-01  7.16440269e-01 -7.34973044e-01
   8.97605208e-02  9.68670893e-02  6.85419448e-01  2.14264883e-01
  -8.90293987e-01]]",[86.26775481]
"[[ 0.85740079 -0.4786922   0.07996669  0.37136524  0.39709503  0.89693887
   0.82702558 -0.07952612  0.98490026 -0.90517439  0.28178088  0.75629385
   0.01965643 -0.31996104 -0.28640873  0.81986857 -0.80886867 -0.4932756
   0.60295905 -0.74812352 -0.74859852  0.70761817  0.44146723  0.81017842
   0.77942153 -0.59457248 -0.79312387 -0.14407335 -0.62336527  0.09729442
  -0.61366392  0.56072494 -0.97189236  0.70732125 -0.27566406  0.06558797
  -0.39180101 -0.25459606 -0.41275277 -0.58581962  0.23601437  0.96158252
  -0.01131867  0.11986583  0.5588631  -0.6583251   0.03756649  0.99158801
  -0.26374552 -0.2618905  -0.29502194  0.4613413  -0.55599425 -0.62569188
  -0.76602519 -0.16176486  0.42548684 -0.32745884  0.79573761  0.52400902
   0.92445327 -0.1082831  -0.36318522 -0.49905051 -0.93642231 -0.90934767
   0.26881036 -0.43102757 -0.07968792  0.58938719  0.41719897  0.05846412
   0.97223537 -0.86459918 -0.42169186  0.51707547  0.7891795   0.70548014
   0.07670719  0.05664042 -0.03607087  0.85481547 -0.98605787 -0.44843712
   0.46729695 -0.90342711  0.29193292 -0.45152512  0.9677148  -0.47046601
   0.10352184 -0.0063918   0.13929138  0.30878945 -0.09149455 -0.30053273
  -0.51678558 -0.35807585 -0.41116605 -0.6896066  -0.32331176 -0.72987666
   0.53655317  0.41497013  0.04212608 -0.65090368  0.21967976  0.78517382
   0.43580126 -0.90654281 -0.85243889  0.19650497 -0.72027297 -0.14046224
  -0.69084251  0.29326428  0.44273504 -0.55526544 -0.04827478 -0.27960988
  -0.59207693 -0.37632275 -0.6104842   0.19641382 -0.99347943 -0.1951906
  -0.50969246 -0.44861036 -0.50073001  0.40545517  0.56723656  0.77689259
   0.33525712  0.95854638 -0.07469728  0.60734829 -0.95458153  0.81292859
  -0.23594393  0.784405   -0.55467073  0.5285061   0.19101028  0.88025224
  -0.87699734 -0.26391875 -0.59269302 -0.85614828  0.45240877 -0.56936428
   0.7216059   0.30860566  0.1380468   0.23840649 -0.23259525 -0.09127076
   0.15903094  0.14894913  0.56049775  0.12839238 -0.76325138  0.79422236
   0.21613978 -0.27413976  0.54171862 -0.75893228 -0.64621748 -0.76761757
   0.89210193 -0.30217108 -0.2674187   0.60659472  0.07105561  0.69984923
   0.25336556 -0.1533879   0.22590186  0.0979269  -0.40420544 -0.23717291
  -0.1150741  -0.78437355 -0.40764548  0.06156453  0.34552258  0.6193481
  -0.01430106  0.38167556 -0.1583285   0.75627203 -0.56120452 -0.19571252
  -0.77120524  0.11200002  0.54184607  0.91511104 -0.58091382 -0.8510747
   0.05494358  0.77898631 -0.58916598 -0.10312987  0.02671782  0.19355489
   0.23495624 -0.80892202  0.2367867   0.28250806 -0.72871609 -0.81239002
  -0.92121697 -0.70965922  0.97361829  0.87396389 -0.52538464 -0.48123477
   0.84091827  0.76561966  0.03344222  0.09377714 -0.90498241  0.66590346
   0.86594134  0.02450294 -0.8371541  -0.2825003   0.78914356 -0.13218205
   0.79985048 -0.41560405  0.59444714 -0.31285373 -0.46509494 -0.09496908
  -0.63067355  0.62883126  0.09923885  0.97993156  0.60623488 -0.21454508
  -0.47553753  0.08134358  0.44072278  0.55220644  0.1168998  -0.28152732
   0.94817978 -0.21462066  0.13408478  0.95371145  0.25881589 -0.00864246
  -0.27604165  0.54222354  0.37994659 -0.96940076 -0.86424957 -0.94105575
   0.71991539 -0.91081765  0.55031761  0.86190526 -0.30784948  0.66416307
   0.81734425]]",[74.95974529]
