Genome,Fitness
"[[ 0.16698664  0.51312754 -0.16117905  1.          0.28255821 -0.03345541
  -0.66244508  0.31704417 -0.32135475 -1.         -1.         -0.14412713
   0.6253672   0.14770224  0.36352319 -0.41934536  0.40320208  1.
  -0.34243531 -0.09242849  0.31359975 -0.09039804 -0.45324777 -0.83563596
  -0.96563263  1.         -0.89261488 -0.49238012 -1.          1.
   0.10140406 -0.53513602 -0.40050761  0.3691759  -0.8903437  -1.
  -0.86580592 -0.98992464 -0.65775054 -1.         -0.6104313  -0.00187874
   0.328288   -0.14322399 -1.          0.6046562   0.18542526 -1.
  -0.23852026  0.68437581 -0.90525969  0.19954781 -0.500881   -0.65054779
   0.20711062 -0.07153194 -0.24302573  0.9750272   0.97553027  0.39958833
   0.91038436  0.79715383 -0.50773183 -0.49127864 -0.90938077  0.55664998
  -0.27252756  0.1190398   0.72055103 -0.33379809 -0.58455186  0.20272189
  -0.21537345 -0.01430529 -1.          0.05303346 -0.25112037  1.
   0.85847449  0.31137503 -0.58377248  0.07299238 -0.45799075 -0.33252833
  -0.10015925 -0.67415125  1.         -1.          0.75646837 -1.
  -1.          0.6054244  -0.85421253  0.79914876  0.70589677  0.34529803
  -0.59863376  0.68594416 -0.66300727  1.         -0.56617191 -0.16573252
   0.61995729 -0.3451415  -0.15717513 -0.08198978 -0.80575109  0.97855937
  -1.         -0.88736618 -0.88290096 -0.98314795 -1.         -0.79701491
  -0.55636824  1.         -0.36559918 -0.84714447  0.8731356   1.
  -0.5701689   0.77517703  0.09630741 -0.08664673  0.05142614 -0.45550136
   1.         -0.60258966  0.22687302  1.          0.45005087 -0.60731086
   0.36575405 -0.62135618 -0.85668831  0.27858822 -0.88357214 -0.31143486
  -0.07089795  0.19017739 -0.24541139 -0.34566658  0.69066836  1.
  -1.          0.74664184  0.1642571  -1.          0.95864072 -0.12498807
   0.17234209  0.75180914  0.81864295  1.         -1.          0.30013645
  -0.19316881 -0.43215936 -0.08045509 -0.03304196 -0.3774087   0.04721186
   0.17261471  1.         -0.96239748 -1.         -0.02443521 -0.15719641
  -0.61566846 -1.         -0.49094955  0.2936496  -0.15899279 -0.13850314
   1.         -1.          0.53984569  1.          0.12887066  0.05708658
   0.33749713  0.33374044  0.05133795  1.         -0.11085384  0.32031546
  -0.8694433   0.61529717 -1.         -1.         -0.30478685  0.39764008
  -0.97656472  0.67778039  0.69628583 -1.         -1.         -0.77805337
   0.19406389 -0.08379831 -1.         -1.          0.4904668  -0.109776
  -0.03563052  0.56097003 -0.49041783 -0.72000077 -0.12100085 -0.05342528
   1.          0.62086723  1.          0.16907676 -1.          0.87274579
  -0.6642288  -0.37863257  0.27641014 -0.7230477  -0.28077073 -0.18196412
   0.73413613  0.54465924 -0.76764949  0.05784145 -0.32390608  0.00999701
   0.30500486 -0.82108443 -1.         -0.92266101 -0.59573535  0.16732701
   0.73657054 -0.76828491  0.16554483 -1.         -0.47029334  0.47277111
  -0.68749948 -0.08904372  0.31918592  0.47339963  0.21155184 -1.
  -0.19501338  0.40267605  1.         -1.         -0.54177563 -1.
   0.06121409 -0.48240318  0.80995295  0.37176848 -0.35702989  1.
  -0.84507336  0.09700136 -0.52625803 -1.          0.72034578 -0.85142017
   0.27016475]]",[75.01354799]
"[[-0.49496717 -1.          1.         -0.66372236  0.08731853 -0.33342696
   1.         -0.28122849 -1.          0.9996334   0.97602214  0.08094153
   0.55687776  0.19456015 -0.08389967 -0.84694687 -0.40174615  0.10964939
  -0.80723807 -1.          0.96294992  0.45193311  0.23927295 -0.11315552
   0.65044371 -0.2638792  -0.72857502  0.16218625  0.36551845  1.
  -1.         -1.         -0.03093299  1.          0.07303973  0.87377314
   0.97084169 -1.         -1.          0.74902049  0.4823969  -0.27158336
   0.1501122  -0.9040747  -0.47865909 -0.12326964  1.          0.71850365
   0.33987068  0.58863955 -0.91537736  0.75605407 -1.          1.
  -0.15221088  0.09716247 -1.         -0.15901766  1.          0.41856633
  -0.87601841  0.30707653 -0.6224343   0.16230358 -1.          0.52679313
  -0.88481512  0.7868944   0.34424946  0.94517726 -0.70055042  0.48022844
  -0.59592088 -0.26623405  0.37128818 -0.918825    0.64222825 -0.03450751
  -0.3705973   0.4153806   0.69006358  0.32898795  0.11599499 -1.
  -1.          0.64092263  0.35094669  0.80984765  0.74238392 -0.08649546
   0.61942877 -1.          0.32529405 -0.48460564  0.42653483  1.
   0.28891619  0.4972982  -0.41105491 -0.33700274 -1.         -0.69718901
  -0.864829    0.95659671  0.48141201 -0.31166197 -0.87741447  1.
   0.33054609 -0.92646589 -0.97683107 -0.79846826  1.         -0.10044772
  -0.37953335  0.944018    0.73060091  0.27341632  0.22843497  0.99894223
  -0.35765048 -0.54329063  0.77945882  0.34016632 -0.35364862  0.57004234
  -0.60945217  0.65123712 -0.70908773  0.26075575  1.          0.08519709
   1.         -0.96358571 -0.06046613 -1.         -0.27121908  0.70709644
   0.78921831  0.66384756  1.          0.93326239  0.6059512   1.
  -1.          0.4068337  -0.32311046  1.          0.48363196 -0.58753738
   0.76953648 -0.74946917 -0.20181562  0.95449919 -0.90516168 -0.36272917
  -0.3031887  -0.63644026  0.9986041  -0.29920191 -0.3541219  -0.92361302
  -0.3512803   0.58504273 -1.          0.21331674 -0.32671528  0.54231243
  -0.16427204  0.59985212  0.73209287  0.11225629 -0.83050175  0.33079877
  -0.49936205 -1.          0.77480806 -0.69847225  0.6411559  -0.03158493
  -0.45757283 -1.         -1.         -0.17525313  1.          0.69591573
   0.25006659  1.          0.96339756  0.55478918  1.         -0.23251666
  -0.0523095   0.13466242 -1.         -1.          0.15724757 -0.17734536
   0.33049817 -0.79213209 -0.56969273 -0.05539976  0.5833482  -0.70260418
  -0.03847607 -0.54711361 -0.21974031 -0.02383453 -0.61136256 -0.82622951
  -0.83446064 -0.6973859   0.92159285  0.9419345   0.23025554  0.33606438
  -0.72031467  0.91066895 -0.497823   -0.76341516  0.74308026  0.94736446
   1.          0.92425513 -0.86112242  0.34834361  0.6858062  -0.23641765
  -0.69159808  0.22800413 -0.52547195 -0.83138513  0.24721779  0.88733592
  -0.62795555  0.1896503  -0.74120733 -0.16543732  0.4590376  -0.3075096
   0.78058726  0.68644312  0.9328582   0.78276248 -1.         -0.73508113
  -0.25830259  0.47651775  0.5184308   0.99218716  0.9219633  -0.23363123
  -0.00223665  0.48470426 -0.96244786 -0.70188673 -0.48174549  0.95136441
   0.98039139  0.83306635  0.1398474   0.16168756  0.72149311  1.
   0.44734369]]",[75.26990022]
"[[-0.28011484  0.17688752  0.3873112  -0.15312812  0.86966463  0.42087801
  -0.9000143  -0.6516125   0.05428303  0.81973965  0.26366928 -0.93455344
  -0.42577737  0.70020831 -1.          0.97728594 -0.62944212 -0.19064386
  -0.84603066  0.46564951 -0.78433529 -0.19987734 -0.78669267 -0.81420176
   0.08656672  0.68923068  0.0968862  -0.10686867  0.33131413 -0.90621082
  -0.26428569 -0.54045085 -0.71770284  0.63852812 -0.21425728 -0.71757483
  -0.80016629 -0.18444621  0.16702925  0.08998356 -0.35159837  0.9451556
   0.14670421 -0.56405298  0.55796002  0.69719777 -0.46442382 -0.77759079
   0.40247499  0.19124394 -0.5979347   0.50110053 -0.9688757  -0.34591985
   1.          0.13217838  0.69657994  0.88556265  0.807779   -0.50623115
   0.22911297  0.34679987 -0.4265097   0.54516786 -0.63510902 -0.35352206
   0.82592694  0.94979546  0.10598391  0.20343437 -0.44839459  1.
  -0.48359241  0.90123902  0.64029308  0.66574716  0.23619628  0.63902408
  -0.25629179 -0.18717326  0.01150354  0.61077527  0.41351442 -0.88227062
  -0.4807373  -0.68705467 -0.64831045 -0.84317528 -0.45505926  0.41380884
   0.71152112 -0.65077028 -0.39544907  0.04609661 -0.00328027 -0.85664704
  -0.5464616   0.46127455  0.8945524  -0.57946873  0.21091112 -1.
  -0.12654836 -0.70449358 -0.53394753  0.91570074 -0.37086109 -0.02351895
   0.15312881 -0.86284606 -0.5595138   0.56164389  0.8701756   0.94877738
  -0.51079072  0.77161167 -0.62674496 -0.64777707 -0.47827677  0.08649253
  -0.0583161  -0.76867935 -0.60333483  0.44523935 -0.22601613 -0.01904982
   0.76471872 -0.91160939  0.32707386 -1.         -0.40694656  0.59522755
   0.19706205 -0.19503384  0.51820219 -0.31344191  0.77184626 -0.72610484
  -0.99244244 -0.86866335  1.         -0.98759826  0.15900411  1.
  -0.55345728  0.40654718 -0.50585793 -0.61106932 -0.39351091 -0.26972446
   0.28262657 -0.73922843  0.52372116  0.04347261 -0.34050152  0.73500777
   0.97075237  0.60490954 -0.99085243  0.15890588 -0.85059697 -0.76745622
   1.          0.61413485 -0.57800939  0.73905083 -0.78602922 -0.6433553
  -0.93483419 -1.         -0.81195649 -0.47175642 -0.02114667  0.63676258
  -0.30045126  0.43929572 -0.27924049  0.56279735  0.83040273 -0.85683565
   0.70988445  1.         -0.66223698 -0.59314612 -0.36459311  0.72942509
   0.84285438 -1.          0.27124234 -0.10215888  0.51194958  0.48239393
   0.49932215 -0.82422432 -0.99709592 -0.96080286  0.82146984 -1.
  -0.59138597 -0.47182969  0.28713524 -0.52675003  0.05874697  0.52147431
  -0.91111003 -0.80351134  0.64480503 -0.33992785  0.30624955 -0.2868944
  -0.32661793 -1.          0.44545564 -0.08501751 -0.9175657  -0.93566008
  -0.6569576  -0.26776039 -0.16611204  0.14488505 -0.20462819 -0.52197523
   0.02212175  0.60311815 -0.02304279 -1.          0.08320967  0.47391255
   0.4993198  -0.19288539 -0.31824653  0.9251031   0.39587111  1.
   0.58741784 -0.72968424  0.72475542  0.31004553  0.29487059  0.77845967
  -1.          0.0849356  -0.76146201  0.00719998 -0.72712923 -0.80556475
  -0.80348228  0.86982515 -1.         -0.07448041  0.54936566  0.2374518
   0.66955049  0.26763315  0.75122885 -0.98782024 -0.38635322  0.7651676
   0.23506622  0.68244819 -0.11251101  0.92290971 -0.29266307  0.93282621
  -1.        ]]",[75.26990022]
"[[-0.00144682  1.         -0.0865338   0.45458539  0.39397262  0.33136919
  -0.79484927  0.539685   -0.2039166  -0.7687864   1.         -0.67621063
  -0.19521074  1.          0.13022064  0.79953605 -0.07181259  0.12207043
   0.92207537  0.75808355  0.54450719 -0.46265692 -0.94057778 -0.07549827
  -1.         -0.91702282 -0.27730512 -0.75094709  0.06787249  0.67751781
   0.45731802  0.50719649 -0.31474815  0.35971748  0.09845831  0.26818725
  -0.65554061 -0.39787959 -0.50718319  0.62399984 -0.25924055 -0.89267511
   0.79063176 -0.12954764  1.         -0.71784082 -0.27497512 -1.
  -0.43457016 -0.02887255 -0.4740633   0.41705248 -0.25812526 -0.3972548
  -0.1418408  -0.52106587 -0.22361384  0.67811116 -0.80390459 -0.22774371
   0.29901114 -0.65054196 -0.84440769  0.7327239   0.36307182 -1.
   0.51969341 -1.         -1.         -0.85378744 -0.0139048  -0.35083084
   0.2699652  -0.03345098 -0.5912688   0.11005168  0.91250676 -0.23045091
   0.1588742   0.16687353  0.60562142  1.         -0.02188118 -0.68168842
  -0.0045502   0.02908852 -0.7350581  -0.65946994  0.23420161 -0.47056022
   0.82648381  0.80968242  0.08657006 -0.63846437  0.70654356 -0.99667714
   0.57815365  0.30429509 -0.46196816 -0.76100272 -0.61610171  0.22421707
  -0.73459999  0.5018733  -0.30570781  0.33764785 -1.         -0.09198674
  -0.78422904 -0.33003167 -1.         -1.          1.          0.39136155
  -0.23072678  0.82775157 -0.09162622  0.8841867   0.30093524 -0.3374806
   0.19443007  0.68610307 -1.         -0.24443989 -0.07757803 -0.66026019
   0.60231851  0.39343668 -0.14348318  0.49330425  0.39402672  0.85687129
  -0.20151379 -0.40622638 -0.38534946  0.63066299 -0.25113442 -0.10880591
  -0.34041188  0.9117097  -0.95811434 -0.37147986 -0.91131384 -0.70007683
  -1.          0.68237815  0.33708788 -0.92095686 -0.58268238 -0.69626654
  -0.2498607   0.32730419  0.51083616 -0.3620098  -0.02136937 -0.03845378
   0.06385004 -0.67444573 -1.          0.66428184 -0.82103862 -0.2864827
   0.10649534 -0.85784568  0.62357353 -0.07619917 -0.58691245 -0.27474995
  -0.05407805  0.46656418  0.66803587 -0.7503627   1.         -0.32225924
  -0.69447547 -0.28716104  0.4279076  -0.35757539  0.70587028  0.46275424
  -0.43205055  0.84945508  0.26400163  1.          0.70238582 -0.93989715
   0.89702571 -0.47604527 -0.91941293 -0.36438397  0.79042308 -1.
   0.36867829 -0.17020913 -0.49328602  0.88265689 -0.35316754 -0.97436715
   0.17490017 -0.2745696  -0.18097161  0.90669324  0.66809251 -0.4948927
  -0.6621464   0.26190499 -0.19309399  0.77298566 -0.89447476 -1.
  -0.06500357 -0.3659846   0.89371388  0.32978972  0.71836979  0.44960528
  -0.95799793  1.         -0.67484152 -0.8142129  -0.23400927 -0.38779213
   0.31802216 -0.67130524 -0.25422612 -0.44049255 -0.84529809 -0.14695537
   0.97207527 -0.1032662  -0.33683006  0.36743417  0.80307506 -0.59176457
   0.73516749  0.45916225 -0.91754862 -1.         -1.         -0.7659975
  -0.48122763  0.92412706  0.77991057  0.45482923  0.35097514 -0.74318271
  -0.4155485   0.38610721  0.80917468  0.18274153 -0.28996305  0.71140269
  -1.         -1.          0.14319357  0.34927464 -0.36486292 -0.52415087
   0.68531658  0.18667121 -0.65287542  0.62359882  0.9647661   0.81136786
  -1.        ]]",[94.80704315]
"[[-0.42414522 -0.01852257  1.          1.         -0.39838449  0.79978607
  -0.88256659 -0.03321542 -0.81459236  0.43173069 -0.7197066   1.
  -0.07918475  1.         -1.         -1.         -0.15383914  0.42734494
   0.03919818 -0.41736222  0.73964793  0.72687462 -0.76184046 -0.24011393
   0.15956479 -0.25592111 -0.52070604  0.96267883 -0.31099149  1.
   0.05446947 -0.48846083 -0.15126869 -0.16261208 -0.3025271   0.39630171
  -1.         -0.986158   -0.626949   -0.80810703  0.34943776 -0.55082501
  -1.         -0.33151809  1.          0.07109882 -0.47120038  0.30967096
   0.5613781   0.05299659 -1.         -0.16940189  1.         -0.75343445
  -0.19401799 -0.05413868  0.17319513 -0.82676863  1.          0.84449526
   1.          0.8162077  -1.         -0.72175322  0.99639065  0.82760931
   1.         -1.          0.40364105  0.273543    0.33210691 -0.56710198
   0.46535216 -1.          0.50626302 -0.23723372 -0.92585763 -0.25009922
  -0.31641856 -0.34859602  1.         -0.61440517 -0.05308454  0.30615725
   1.          0.68195004 -0.56231046  0.73932656  1.         -0.1772328
  -0.11663379  0.70385395  0.0524561   0.43306991  1.          0.72592973
   0.21303702 -1.         -0.49462619 -0.32389279  0.44599073  0.87236142
  -1.         -1.          0.43286679 -1.         -0.30941179  0.16492165
  -1.          1.         -1.          0.26326593  0.15587861 -0.68983535
   0.02845538 -0.65749179  0.80672987  0.18050031 -1.          0.25886287
  -0.56243819  0.13757809  1.         -0.44334378  0.53307466  0.13856371
   0.63764895  1.          0.02951535 -0.75900927  1.         -0.46193103
   0.32160319 -0.5802863  -1.          0.94142324  0.99471175 -0.98872921
   1.         -0.37794898  0.2752044   1.          0.89192708  0.75390855
   0.56871255  0.52734822 -0.78974709 -0.90982236 -0.57883077  1.
  -1.         -0.53478573  0.05722343 -0.87347267  0.432884   -0.19280359
   1.          0.47277215  1.         -1.         -0.61982087  1.
   0.73818713  0.58049541  0.84632288  0.61671911  0.79812938  0.15857644
  -1.         -0.23680692  0.08011257 -0.00582138 -0.07346013 -0.21077668
   1.          0.33331365 -0.4734008   0.45353916 -0.50859707 -0.5271844
  -0.84607697  1.          0.78573056 -0.81881215 -0.27400904  0.54830278
   0.64381774 -0.71535739 -0.53076266 -0.63345464 -0.18000551  0.27732359
  -0.56720725 -1.         -0.96663158  0.3612208  -1.          0.77883305
  -1.          1.         -1.          0.71632304 -0.73049966 -1.
  -0.08371345 -0.57632304  0.4389907   1.         -0.70899067 -0.23589841
  -0.94426457 -0.51223135  0.42257153  0.67321607 -0.62947817 -0.80150787
  -0.51830752  0.77059971 -1.         -1.         -1.          0.08566835
   0.80321208  1.         -0.59195005 -0.98312827 -0.96702125 -0.11960335
  -0.06060077 -0.57113944  0.97207935 -0.69754782 -0.41141749  1.
   0.19862048 -0.3125028  -1.          1.         -0.22061726 -0.97915306
   0.19925579 -0.29730055 -0.34612231  0.52001806 -1.         -0.03962833
  -0.51928165 -0.35439451 -0.0087981  -0.21197205  0.29938793 -1.
   0.34113909  0.35145279 -0.65249658  1.          0.24565647  0.33805248
  -1.          0.54066055 -0.49949987  0.53544534 -0.83139269  1.
  -0.01458593]]",[66.01354799]
