Simulation,Generation,Best Fitness,Mean Fitness,Std Fitness
1,1,39.013547994715566,-3.031001268740015,9.225718248506485
1,2,39.013547994715566,-0.42491115526966783,11.054822075033707
1,3,39.10010264641751,3.696776104641253,13.983461625293346
1,4,75.20394224923463,14.284664867167235,16.722039777682923
1,5,94.85250552318655,23.094248593284366,15.689580946407403
1,6,94.85250552318655,32.1313378217636,12.191163067582714
1,7,94.85250552318655,34.89724880548734,11.850783722755553
1,8,94.85250552318655,38.54557776358756,9.665710493988756
1,9,94.85250552318655,41.58433848642149,8.288666001967501
1,10,94.85250552318655,42.13719522702169,8.592498395899161
1,11,94.85250552318655,42.41239426227999,8.724468923853175
1,12,94.85250552318655,42.955798285950166,8.86681406381779
1,13,94.85250552318655,43.86143222132971,9.236026126158194
1,14,94.85250552318655,43.86449446662771,9.23443774878075
1,15,94.85250552318655,44.137457467087735,9.218503091442551
1,16,94.85250552318655,44.415041253124194,9.284168712356989
1,17,94.85250552318655,45.05547628804893,9.703680899733413
1,18,94.85250552318655,45.066827229076225,9.69671127023795
1,19,94.85250552318655,45.794542330060956,9.81149519371639
1,20,94.85250552318655,45.798293883368096,9.80894293594678
1,21,94.85250552318655,46.07110103856974,9.74255051989181
1,22,94.85250552318655,46.161269777221875,9.71809272138534
1,23,94.85250552318655,46.60420312369254,9.825191689083933
1,24,94.85250552318655,47.2251192322208,9.852779154768209
1,25,94.85250552318655,47.40510345242989,9.865784107922078
1,26,94.85250552318655,47.492328897023214,9.83099374620806
1,27,94.85250552318655,47.7578429425887,9.721495688420351
1,28,94.85250552318655,48.10625809657613,9.562455584962182
1,29,94.85250552318655,48.55011651904479,9.426073056106004
1,30,94.85250552318655,49.35132667908439,9.485082082427734
2,1,39.013547994715566,-3.639597303898139,6.955235269568688
2,2,39.03642065638155,-0.399180404768872,10.591294060922392
2,3,57.17991706964764,5.645724980929319,14.123782630848133
2,4,57.17991706964764,16.450523061983244,14.328335501766976
2,5,57.17991706964764,22.63081240018702,12.167826752674845
2,6,75.17991706964764,30.16213929640977,11.989102060392607
2,7,75.17991706964764,31.932803776486015,11.84951303321223
2,8,75.17991706964764,36.285954269307005,10.332455568389067
2,9,75.17991706964764,40.918922422090546,8.09468605972573
2,10,75.17991706964764,41.655199852418576,7.6855825933267194
2,11,75.17991706964764,42.28655752119663,8.411213346059542
2,12,94.9001335721758,43.11742108147271,9.997705475139472
2,13,94.9001335721758,43.83885098960425,10.161862255196903
2,14,94.9001335721758,44.56557403255906,10.665354374114631
2,15,94.9001335721758,45.02478441788412,11.063273718293718
2,16,94.9001335721758,45.02777329086482,11.061665749160639
2,17,94.9001335721758,45.38485314634006,11.076914764062503
2,18,94.9001335721758,45.481718348086105,11.057366449077914
2,19,94.9001335721758,45.57651418967748,11.03816205345632
2,20,94.9001335721758,45.75971450470857,10.999758916994395
2,21,94.9001335721758,46.39656568865471,11.214615965481388
2,22,94.9001335721758,46.66951456791204,11.21218887238294
2,23,94.9001335721758,47.58161390924804,11.292584637195295
2,24,94.9001335721758,47.671045280629095,11.260192259217499
2,25,94.9001335721758,48.120710667025634,11.302148068751892
2,26,94.9001335721758,49.042029914937345,12.225162749309057
2,27,94.9001335721758,49.6629387010471,11.988507745368489
2,28,94.9001335721758,49.93284788358601,11.915035269203353
2,29,94.9001335721758,50.37907056411135,11.872180226689705
2,30,94.9001335721758,50.556460111719886,11.768799474413496
3,1,39.17991706964764,-3.9241635689673204,7.237994248704793
3,2,57.013547994715566,-0.8684853275093067,12.254745474123153
3,3,57.013547994715566,3.6417418161013733,15.691889659340292
3,4,66.19185751001956,13.604657731415324,18.32592010007694
3,5,66.19185751001956,24.30722738096753,16.761089967934574
3,6,66.19185751001956,31.925698952809533,12.361810483310224
3,7,66.19185751001956,37.18937948351942,8.47830145623544
3,8,74.45608815443521,40.8168338986816,5.806319365868881
3,9,74.45608815443521,41.10316478752138,5.9204674362195995
3,10,74.45608815443521,41.56256075880742,6.345670063728894
3,11,74.45608815443521,41.84072681971904,6.786992828520148
3,12,74.45608815443521,42.296306491656125,6.996664068157502
3,13,75.26990021702643,42.84422891179115,7.734975492076222
3,14,75.26990021702643,43.11979498207772,8.05815135785526
3,15,75.26990021702643,43.1296010494843,8.053243571584064
3,16,75.26990021702643,43.13654408926982,8.049765420062432
3,17,75.26990021702643,43.41457833447361,8.356002076616974
3,18,75.26990021702643,43.512620625281826,8.352332765152916
3,19,75.26990021702643,43.786005389297806,8.442374769511815
3,20,75.26990021702643,44.51235379423436,8.774508264604453
3,21,75.26990021702643,44.694463114671144,8.842935045876738
3,22,75.26990021702643,45.059838635864246,8.879746595483176
