generation,mean_pairwise_distance,variance_diversity,entropy_diversity
0,14.317563198180347,0.41155279404028666,1.8560434574800495
1,14.35935555083241,0.42434018374915405,1.7610942280587505
2,13.635510664012482,0.406951337118872,1.5930653244475728
3,13.052514906536818,0.3917893036189789,1.486159190790666
4,12.94904137546502,0.39267500138732103,1.487543177534789
5,13.47669107536416,0.41324208506029064,1.5348061841577485
6,13.703256054190687,0.42362872655820993,1.5462839551587162
7,14.02451829559971,0.43889889994982567,1.5613376461567787
8,12.921070329743053,0.4054811332054521,1.3984967352458937
9,13.355141282475618,0.4183651919953173,1.4843856146724
10,12.687093480543027,0.3918251308975885,1.4254536893449208
11,12.855055587101454,0.3978265421914237,1.4259957271395771
12,12.561690499479758,0.39009073932911204,1.3826771334087522
13,12.793662588632648,0.39839136867429137,1.3855810739095311
14,13.252067300171673,0.4153843262052383,1.3951581414301273
15,12.113795889866044,0.37374697319776934,1.262211998306533
16,12.570865145019997,0.3864439740644038,1.2789870055010377
17,12.649519113695884,0.3850181444172314,1.2954846420851944
18,11.280065349449126,0.34213507717210184,1.0924566273737952
19,11.217944181121709,0.33724821522562015,1.0913860569650453
20,11.512937551492051,0.34600367603035126,1.1336100026339277
21,10.443504417345412,0.3149440524958098,0.9888533726202787
22,10.855689599959694,0.32911026406135835,1.0417893342188933
23,9.598276372725444,0.2858012847485331,0.9253743420379421
24,6.681163633353404,0.2027414499830748,0.6955038604879399
25,5.130013982137525,0.15197017406755528,0.5740608943407818
26,5.204638353691204,0.1548994193310478,0.5970194304333192
27,3.8806225568250494,0.11611398406562404,0.45533470057350034
28,3.427014534782076,0.09692968476051433,0.43413804800100875
29,0.6172292133936933,0.017828524627547127,0.09036823047227828
